,ENTIDAD,Mes,Año,Tipo_sequia,Precipitacion,Temperatura_promedio,Temperatura_maxima,Temperatura_minima,Sembrada_ha,Cosechada_ha,perdida_ha,producto
48,Aguascalientes,2,2014,NPS,0.26,15.4,26.2,4.7,37091,33570,3521,maiz
49,Aguascalientes,2,2014,NPS,0.26,15.4,26.2,4.7,9436,8144,1292,frijol
50,Aguascalientes,2,2015,NPS,32.69999999999999,14.5,22.9,6.0,33710,28013,5697,maiz
51,Aguascalientes,2,2015,NPS,32.69999999999999,14.5,22.9,6.0,7855,7443,412,frijol
52,Aguascalientes,2,2016,NPS,9.57,15.0,25.3,4.7,31644,25325,6319,maiz
53,Aguascalientes,2,2016,NPS,9.57,15.0,25.3,4.7,8200,7031,1169,frijol
54,Aguascalientes,2,2017,D0,2.1,14.7,25.1,4.2,31387,28980,2407,maiz
55,Aguascalientes,2,2017,D0,2.1,14.7,25.1,4.2,9007,8387,620,frijol
56,Aguascalientes,2,2018,NPS,28.570000000000004,16.7,25.1,8.4,32322,32322,0,maiz
57,Aguascalientes,2,2018,NPS,28.570000000000004,16.7,25.1,8.4,7386,7386,0,frijol
58,Aguascalientes,2,2019,NPS,0.03,16.9,26.7,7.1,32330,32330,0,maiz
59,Aguascalientes,2,2019,NPS,0.03,16.9,26.7,7.1,7391,7391,0,frijol
60,Aguascalientes,2,2020,NPS,28.4,15.0,23.7,6.2,24783,13276,11507,maiz
61,Aguascalientes,2,2020,NPS,28.4,15.0,23.7,6.2,4598,2171,2427,frijol
62,Aguascalientes,3,2014,NPS,2.24,17.5,27.6,7.4,37091,33570,3521,maiz
63,Aguascalientes,3,2014,NPS,2.24,17.5,27.6,7.4,9436,8144,1292,frijol
64,Aguascalientes,3,2015,NPS,90.84000000000002,15.3,23.1,7.5,33710,28013,5697,maiz
65,Aguascalientes,3,2015,NPS,90.84000000000002,15.3,23.1,7.5,7855,7443,412,frijol
66,Aguascalientes,3,2016,NPS,12.72,17.0,26.2,7.7,31644,25325,6319,maiz
67,Aguascalientes,3,2016,NPS,12.72,17.0,26.2,7.7,8200,7031,1169,frijol
68,Aguascalientes,3,2019,NPS,0.41,19.0,29.3,8.7,7391,7391,0,frijol
69,Aguascalientes,3,2020,NPS,1.5,19.3,29.0,9.5,4598,2171,2427,frijol
70,Aguascalientes,8,2017,D0,143.82999999999996,21.3,28.0,14.7,7386,2114,5272,frijol
71,Aguascalientes,9,2004,NPS,137.4,18.50624073723212,25.42211822660099,11.590363247863248,11950,2,11948,frijol
72,Aguascalientes,9,2008,NPS,78.5,19.056906790500893,25.04020745029736,13.38070272793561,48773,4100,44673,maiz
73,Aguascalientes,9,2013,NPS,154.3,20.1,26.0,14.2,9436,69,9367,frijol
74,Aguascalientes,9,2017,NPS,159.54000000000005,20.0,26.1,13.9,7386,2114,5272,frijol
75,Aguascalientes,10,2004,NPS,22.0,17.94582213818124,26.167113360554207,9.72453091580826,54715,4324,50391,maiz
