Fecha,ENTIDAD,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
2003-01-01,AGUASCALIENTES,12.74316566429743,22.250410060142155,3.2359212684527074
2003-01-01,BAJA CALIFORNIA,14.011498664157655,23.197527724407593,4.825469603907723
2003-01-01,BAJA CALIFORNIA SUR,18.44599782436211,27.023003720736824,9.868991927987398
2003-01-01,CAMPECHE,21.076568100358426,27.845250896057355,14.3078853046595
2003-01-01,COAHUILA,13.55407470288625,22.021392190152806,5.086757215619695
2003-01-01,COLIMA,25.482526881720425,32.95940860215053,18.00564516129032
2003-01-01,CHIAPAS,21.574625139149703,28.37890808903019,14.77034218926922
2003-01-01,CHIHUAHUA,11.205967615819038,20.462994609783106,1.948940621854971
2003-01-01,CIUDAD DE MÉXICO,12.977234205000956,19.906031685436155,6.048436724565757
2003-01-01,DURANGO,11.601256386342795,20.93726423985641,2.265248532829177
2003-01-01,GUANAJUATO,14.075463447734544,22.747448872021927,5.40347802344716
2003-01-01,GUERRERO,23.55302154222205,30.859853056760745,16.246190027683348
2003-01-01,HIDALGO,12.51049908703591,20.71485088253195,4.306147291539866
2003-01-01,JALISCO,16.763855782048545,26.128525026116506,7.399186537980585
2003-01-01,ESTADO DE MÉXICO,10.78777299152273,19.343966044602283,2.2315799384431823
2003-01-01,MICHOACÁN,14.693025004576276,22.870439219322037,6.515610789830508
2003-01-01,MORELOS,18.70546813492683,27.26994492512195,10.140991344731711
2003-01-01,NAYARIT,21.267945398777773,31.267556085555555,11.268334712
2003-01-01,NUEVO LEÓN,11.860829493303573,19.92327188982143,3.798387096785714
2003-01-01,OAXACA,20.09272016484905,27.72613418188679,12.45930614781132
2003-01-01,PUEBLA,12.828917050357143,18.445852533857146,7.211981566857142
2003-01-01,QUERÉTARO,14.45800553646154,23.30769230615385,5.60831876676923
2003-01-01,QUINTANA ROO,20.867752866970587,27.520563897352943,14.214941836588235
2003-01-01,SAN LUIS POTOSÍ,15.242722157582627,22.801246919097228,7.684197396068027
2003-01-01,SINALOA,21.572835313815798,31.218675721315805,11.92699490631579
2003-01-01,SONORA,17.004622549377952,27.425527274251966,6.583717824503938
2003-01-01,TABASCO,22.12824601,26.91252847,17.34396355
2003-01-01,TAMAULIPAS,16.01774934412083,22.178305813083334,9.857192875158333
2003-01-01,TLAXCALA,11.594354838475,20.951774193,2.23693548395
2003-01-01,VERACRUZ,18.132649488329264,23.218072383658534,13.047226592999994
2003-01-01,YUCATÁN,20.38117117,27.02288288,13.73945946
2003-01-01,ZACATECAS,12.074991085113096,21.548241715952376,2.60174045427381
2003-01-01,NACIONAL,16.540235426302992,24.57454831591305,8.505922536692948
2003-02-01,AGUASCALIENTES,15.105629539951579,25.06658595641648,5.144673123486685
2003-02-01,BAJA CALIFORNIA,12.165395355673134,18.812536743092306,5.518253968253969
2003-02-01,BAJA CALIFORNIA SUR,18.25050017073322,25.820186702813817,10.68081363865262
2003-02-01,CAMPECHE,25.308221726190467,32.64583333333332,17.970610119047613
2003-02-01,COAHUILA,16.035938805346696,24.346083959899744,7.725793650793651
2003-02-01,COLIMA,24.665773809523806,32.97678571428572,16.354761904761904
2003-02-01,CHIAPAS,23.244272105209603,30.96314356939357,15.525400641025634
2003-02-01,CHIHUAHUA,12.25883126683722,20.754736709498612,3.762925824175824
2003-02-01,CIUDAD DE MÉXICO,15.864095519864748,24.33918005071851,7.3890109890109885
2003-02-01,DURANGO,12.958960415441895,21.89825429485923,4.0196665360245625
2003-02-01,GUANAJUATO,16.365361324952367,26.000421708837546,6.730300941067194
2003-02-01,GUERRERO,24.17367675051227,32.15091922536036,16.196434275664178
2003-02-01,HIDALGO,15.975101078167116,25.5917115902965,6.3584905660377355
2003-02-01,JALISCO,18.2014759475102,28.27263119540816,8.130320699612241
2003-02-01,ESTADO DE MÉXICO,12.890074569583335,22.69898589075555,3.0811632484111118
2003-02-01,MICHOACÁN,16.06744611244643,25.444153911607145,6.690738313285715
2003-02-01,MORELOS,20.455909863476194,29.863350339523816,11.048469387428572
2003-02-01,NAYARIT,21.195436508777775,31.089285715555555,11.301587302000003
2003-02-01,NUEVO LEÓN,14.215752550821431,22.478698978928577,5.952806122714286
2003-02-01,OAXACA,21.921943680875007,30.56627747173077,13.277609890019233
2003-02-01,PUEBLA,15.950595237733335,22.603571427333325,9.297619048133331
2003-02-01,QUERÉTARO,16.6310763885625,25.60491071375,7.657242063375
2003-02-01,QUINTANA ROO,24.389929735147057,31.219641909705892,17.56021756058823
2003-02-01,SAN LUIS POTOSÍ,18.790706420499998,27.036507902866653,10.544904938133328
2003-02-01,SINALOA,20.87293929275,29.12623572789473,12.619642857605262
2003-02-01,SONORA,15.801067990635653,24.126237124263554,7.475898857007754
2003-02-01,TABASCO,25.477251185,31.37393365,19.58056872
2003-02-01,TAMAULIPAS,19.138811272826445,25.991545323057853,12.286077222595036
2003-02-01,TLAXCALA,13.641964285875002,24.072500000500003,3.21142857125
2003-02-01,VERACRUZ,21.29600258183736,27.533700516506034,15.058304647168677
2003-02-01,YUCATÁN,25.299713195,32.49330784,18.10611855
2003-02-01,ZACATECAS,14.132140849017858,23.71809514642857,4.546186551607142
2003-02-01,NACIONAL,18.398187360524368,26.771248448269443,10.025126272779296
2003-03-01,AGUASCALIENTES,16.570585019136146,27.336522689994542,5.804647348277747
2003-03-01,BAJA CALIFORNIA,14.809582111436953,21.767121212121214,7.8520430107526895
2003-03-01,BAJA CALIFORNIA SUR,18.886144864368266,27.273125748452305,10.499163980284226
