NOM_ENT,Año,area
Nayarit,2006,9840553.168220073
Nuevo León,2006,70675261.89844494
Oaxaca,2006,140124820.96389398
Puebla,2006,22522949.72565655
Guerrero,2006,33699938.07325344
Hidalgo,2006,27783007.5589164
Jalisco,2006,12867527.94635632
Guanajuato,2006,807915.5698852539
Durango,2006,7749431.218873267
Ciudad de México,2006,29584.11114501953
Chihuahua,2006,12311569.150894228
Chiapas,2006,210560179.6873473
Colima,2006,2069045.5742082184
Coahuila de Zaragoza,2006,15315111.425187893
Campeche,2006,243547362.92139152
Baja California Sur,2006,854251.1244846717
Baja California,2006,58701788.37144464
Aguascalientes,2007,198619.6455078125
Querétaro,2007,2668166.8994741403
Quintana Roo,2007,200164168.20495585
San Luis Potosí,2007,33646523.41917007
Sinaloa,2007,53708850.10283634
Sonora,2007,10443716.779579792
Tabasco,2007,96780994.27201337
Tamaulipas,2007,103937447.24261642
Tlaxcala,2007,240868.78723455692
Veracruz de Ignacio de la Llave,2007,311587273.12907046
Yucatán,2007,275744699.00688654
Zacatecas,2007,1231364.650756836
México,2007,2630515.1505605658
Michoacán de Ocampo,2007,51395067.25511715
Morelos,2007,372942.16424560547
Nayarit,2007,11461260.524310902
Nuevo León,2007,78073977.31145236
Oaxaca,2007,227939371.93988532
Puebla,2007,23164515.45182339
Guerrero,2007,87824947.85519467
Hidalgo,2007,28788835.923794616
Jalisco,2007,20813906.19959286
Guanajuato,2007,1461413.7939912684
Durango,2007,13063777.685513128
Ciudad de México,2007,34675.039001464844
Chihuahua,2007,6741907.673828125
Chiapas,2007,336461522.8697584
Colima,2007,5299548.225280762
Coahuila de Zaragoza,2007,7482618.618869676
Campeche,2007,369801931.38352436
Baja California Sur,2007,620124.2150268555
Baja California,2007,30514428.25730531
Aguascalientes,2008,80909.74954307407
Querétaro,2008,2732452.135702455
Quintana Roo,2008,294350500.13254887
San Luis Potosí,2008,44852471.73597269
Sinaloa,2008,26978351.849235505
Sonora,2008,8921938.096543256
Tabasco,2008,45426501.76994941
Tamaulipas,2008,129602042.025427
Tlaxcala,2008,359017.81143583404
Veracruz de Ignacio de la Llave,2008,207003155.13689348
Yucatán,2008,179682753.67272398
Zacatecas,2008,1173604.7360777613
México,2008,3462804.0036843694
Michoacán de Ocampo,2008,36039633.32462373
Morelos,2008,219304.08125741995
Nayarit,2008,8798586.111417642
Nuevo León,2008,89540242.14424402
Oaxaca,2008,178324936.42697588
Puebla,2008,12278498.40323606
Guerrero,2008,51762325.40295195
Hidalgo,2008,18980466.2368772
Jalisco,2008,16813104.939172365
Guanajuato,2008,1039947.102355957
Durango,2008,14814324.808370672
Ciudad de México,2008,76959.91638183594
Chihuahua,2008,11447033.023785282
Chiapas,2008,297865473.9679647
Colima,2008,1770475.5912217083
Coahuila de Zaragoza,2008,20183773.53183713
Campeche,2008,310231800.4089238
Baja California Sur,2008,718822.2276000977
Baja California,2008,21857904.51649242
Aguascalientes,2009,122175.32556152345
Querétaro,2009,2712583.0947710825
Quintana Roo,2009,459066060.05787647
San Luis Potosí,2009,41495515.813900456
Sinaloa,2009,49342130.2412284
